seed,policy,interval,arrival_rate,arrivals,queue,utilization,offered_load_ratio,replicas_target,replicas_active,p95_ms,p99_ms,cvar95_ms,smoothed_cvar_ms,pressure,predicted_next_p99_ms,burst
508,keda_style,251,300.76044965943595,90721.0,721.0,0.5040055555555556,1.0080111111111112,4,3,196.94642458861938,274.4084370851128,247.78612480608058,244.96882694183256,18.78434168407999,896.3521752545128,0
508,keda_style,252,234.8313926523581,70387.0,0.0,0.29628333333333334,0.5925666666666667,4,4,187.59834047932753,263.15357814035366,237.28048003907148,242.66232287100422,0.030597789732326658,292.55146948435083,0
508,keda_style,253,236.07894650281878,70540.0,0.0,0.29391666666666666,0.5878333333333333,3,4,180.04433830075692,251.1054940949562,224.1701799213232,237.11467998609993,0.031151026671636446,281.55655785967497,0
508,keda_style,254,202.64510078763882,60680.0,0.0,0.3371111111111111,0.6742222222222222,2,3,172.31516578552808,237.11945467426054,211.2409444659228,229.3525593300468,0.08407618679198622,288.58813135690707,0
508,keda_style,255,446.32139717521784,133851.0,73851.0,0.75,1.5,3,2,170.65723929140506,228.58601950166135,208.99131564213394,223.24418622367293,25.77780566930019,41092.562443796065,0
508,keda_style,256,416.0549383534292,124570.0,108421.0,0.75,1.5,4,3,406.0392839535845,503.6916721243153,469.0102664280844,296.9740102849963,17.50073556865962,60357.953141266924,0
508,keda_style,257,150.09041890072302,44801.0,33222.0,0.638425,1.27685,5,4,432.98894697779696,576.4533521084663,519.6039007279261,363.7629774178753,0.005040086867816375,18852.202825234053,0
508,keda_style,258,235.54708987136038,70825.0,0.0,0.3468233333333333,0.6936466666666666,5,5,432.98894697779696,576.4533521084663,519.6039007279261,410.5152544108905,0.007789465281150076,581.955124807002,0
508,keda_style,259,138.6386484159766,41393.0,0.0,0.13797666666666666,0.27595333333333333,4,5,432.98894697779696,576.4533521084663,519.6039007279261,443.2418483060012,0.0009546309507020996,577.172032511115,0
508,keda_style,260,276.2467692987468,82925.0,0.0,0.34552083333333333,0.6910416666666667,3,4,432.98894697779696,576.4533521084663,519.6039007279261,466.1504640325786,0.0749031291958217,611.2429397784288,0
508,keda_style,261,237.1892524741129,71131.0,0.0,0.3951722222222222,0.7903444444444444,2,3,432.98894697779696,576.4533521084663,519.6039007279261,482.18649504118287,0.24498619043815895,643.8997625426591,0
508,keda_style,262,235.39752376533156,70574.0,10574.0,0.5881166666666666,1.1762333333333332,3,2,432.98894697779696,576.4533521084663,519.6039007279261,493.4117167472058,29.768298631995954,6635.005824121871,0
508,keda_style,263,220.74791830923533,66283.0,0.0,0.4269833333333333,0.8539666666666667,3,3,432.98894697779696,576.4533521084663,519.6039007279261,501.2693719414218,0.14541273083560344,628.2508057288933,0
508,keda_style,264,394.33480631553624,118418.0,28418.0,0.6578777777777778,1.3157555555555556,4,3,393.0767764958677,536.7791187045376,463.77122019694735,490.0199264180794,17.894836820138032,16429.908670890076,0
508,keda_style,265,202.29232705528767,61149.0,0.0,0.37319583333333334,0.7463916666666667,4,4,176.29309106687558,238.6558794588937,212.3915543204183,406.7314147887811,0.01533850964234443,546.946345170721,0
508,keda_style,266,380.52945738738566,113726.0,0.0,0.4738583333333333,0.9477166666666667,4,4,167.0588837670669,226.97279707748336,202.47421709257614,345.4542554799196,1.2177725056293895,361.5096401162193,0
508,keda_style,267,332.7433054707218,99522.0,0.0,0.414675,0.82935,4,4,167.85455174192478,235.5209855967297,206.94154302122502,303.9004417423112,0.20423705522693977,297.318261953152,0
